Date,Note,Amount,Category,Type
2025-09-08 08:00:00 +0000,Food,345.10,Food,Expense
2025-09-10 08:00:00 +0000,Metro pass,54.00,Transport,Expense
2025-09-14 08:00:00 +0000,Netflix,15.99,Subscriptions,Expense
2025-09-16 08:00:00 +0000,OpenAI,23.00,Subscriptions,Expense
2025-09-19 08:00:00 +0000,Weekend city break,360.00,Viaggi,Expense
2025-10-02 08:00:00 +0000,Salary,3680.00,Paycheck,Income
2025-10-03 08:00:00 +0000,Rent,1125.00,Rent,Expense
2025-10-05 08:00:00 +0000,Groceries,219.45,Groceries,Expense
2025-10-08 08:00:00 +0000,Food,318.40,Food,Expense
2025-10-10 08:00:00 +0000,Train tickets,66.50,Transport,Expense
2025-10-14 08:00:00 +0000,Netflix,15.99,Subscriptions,Expense
2025-10-16 08:00:00 +0000,OpenAI,23.00,Subscriptions,Expense
2025-10-23 08:00:00 +0000,Birthday gifts,240.00,Gifts,Expense
2025-11-02 08:00:00 +0000,Salary,3680.00,Paycheck,Income
2025-11-03 08:00:00 +0000,Rent,1125.00,Rent,Expense
2025-11-05 08:00:00 +0000,Groceries,207.30,Groceries,Expense
2025-11-08 08:00:00 +0000,Food,298.90,Food,Expense
2025-11-10 08:00:00 +0000,Metro pass,54.00,Transport,Expense
2025-11-14 08:00:00 +0000,Netflix,15.99,Subscriptions,Expense
2025-11-16 08:00:00 +0000,OpenAI,23.00,Subscriptions,Expense
2025-11-24 08:00:00 +0000,Winter clothes,295.00,Sfizi,Expense
2025-12-02 08:00:00 +0000,Salary,3680.00,Paycheck,Income
2025-12-03 08:00:00 +0000,Rent,1125.00,Rent,Expense
2025-12-05 08:00:00 +0000,Groceries,238.80,Groceries,Expense
2025-12-08 08:00:00 +0000,Food,362.50,Food,Expense
2025-12-10 08:00:00 +0000,Train tickets,71.20,Transport,Expense
2025-12-14 08:00:00 +0000,Netflix,15.99,Subscriptions,Expense
2025-12-16 08:00:00 +0000,OpenAI,23.00,Subscriptions,Expense
2025-12-22 08:00:00 +0000,Holiday trip,690.00,Viaggi,Expense
